Location,Year,Incident
Residence/home,2018,1044
Residence/home,2019,1004
Rest area,2013,1
Rest area,2014,1
Rest area,2015,3
Rest area,2016,3
Rest area,2017,2
Rest area,2018,2
Rest area,2019,3
Restaurant,2013,63
Restaurant,2014,58
Restaurant,2015,83
Restaurant,2016,92
Restaurant,2017,126
Restaurant,2018,136
Restaurant,2019,138
School/college2,2013,111
School/college2,2014,78
School/college2,2015,73
School/college2,2016,67
School/college2,2017,85
School/college2,2018,35
School/college2,2019,28
School—college/university,2013,47
School—college/university,2014,73
School—college/university,2015,85
School—college/university,2016,107
School—college/university,2017,129
School—college/university,2018,155
School—college/university,2019,93
School—elementary/secondary,2013,92
School—elementary/secondary,2014,94
School—elementary/secondary,2015,103
School—elementary/secondary,2016,155
School—elementary/secondary,2017,207
School—elementary/secondary,2018,153
School—elementary/secondary,2019,232
Service/gas station,2013,30
Service/gas station,2014,35
Service/gas station,2015,46
Service/gas station,2016,55
Service/gas station,2017,58
Service/gas station,2018,63
Service/gas station,2019,53
Shelter—mission/homeless,2013,2
Shelter—mission/homeless,2014,4
Shelter—mission/homeless,2015,7
Shelter—mission/homeless,2016,10
Shelter—mission/homeless,2017,12
Shelter—mission/homeless,2018,9
Shelter—mission/homeless,2019,17
Shopping mall,2013,3
Shopping mall,2014,5
Shopping mall,2015,7
Shopping mall,2016,6
Shopping mall,2017,10
Shopping mall,2018,14
Shopping mall,2019,8
"Specialty store (TV, fur, etc.)",2013,22
"Specialty store (TV, fur, etc.)",2014,25
"Specialty store (TV, fur, etc.)",2015,25
"Specialty store (TV, fur, etc.)",2016,28
"Specialty store (TV, fur, etc.)",2017,51
"Specialty store (TV, fur, etc.)",2018,56
"Specialty store (TV, fur, etc.)",2019,36
Other/unknown,2013,276
Other/unknown,2014,210
Other/unknown,2015,269
Other/unknown,2016,297
Other/unknown,2017,381
Other/unknown,2018,334
Other/unknown,2019,311
Amusement park,2013,NA
Amusement park,2014,NA
Amusement park,2015,1
Amusement park,2016,0
Amusement park,2017,2
Amusement park,2018,2
Amusement park,2019,2
Dock/wharf/freight/modal terminal,2013,NA
Dock/wharf/freight/modal terminal,2014,NA
Dock/wharf/freight/modal terminal,2015,3
Dock/wharf/freight/modal terminal,2016,2
Dock/wharf/freight/modal terminal,2017,1
Dock/wharf/freight/modal terminal,2018,1
Dock/wharf/freight/modal terminal,2019,1
Drug store/doctor's office/hospital,2013,NA
Drug store/doctor's office/hospital,2014,NA
Drug store/doctor's office/hospital,2015,50
Drug store/doctor's office/hospital,2016,49
Drug store/doctor's office/hospital,2017,49
Drug store/doctor's office/hospital,2018,63
Drug store/doctor's office/hospital,2019,56
Gambling facility/casino/race track,2013,NA
Gambling facility/casino/race track,2014,NA
Gambling facility/casino/race track,2015,3
Gambling facility/casino/race track,2016,3
Gambling facility/casino/race track,2017,3
Gambling facility/casino/race track,2018,3
Gambling facility/casino/race track,2019,1
Cyberspace,2013,NA
Cyberspace,2014,NA
Cyberspace,2015,NA
Cyberspace,2016,3
Cyberspace,2017,7
Cyberspace,2018,15
Cyberspace,2019,21
Tribal Lands,2013,NA
Tribal Lands,2014,NA
Tribal Lands,2015,NA
Tribal Lands,2016,NA
Tribal Lands,2017,NA
Tribal Lands,2018,1
Tribal Lands,2019,0
Multiple locations,2013,NA
Multiple locations,2014,NA
Multiple locations,2015,NA
Multiple locations,2016,NA
Multiple locations,2017,NA
Multiple locations,2018,NA
Multiple locations,2019,10
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2013,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2014,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2015,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2016,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2017,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2018,NA
1 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,2019,NA
